Item #,Part Name,Quantity,Material,Mass (g),Volume,SIZE,,
,,,,,,L,W,H
54,Fuel Channel_C-54,1,Stainless Steel AISI 405,2236.4 ,279.6 ,10.0 ,8.4 ,8.0 
55,Fuel Channel_C-55,1,Stainless Steel AISI 405,1467.5 ,183.4 ,10.0 ,8.4 ,8.0 
56,Fuel Channel_C-56,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
57,Fuel Channel_C-57,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
58,Fuel Channel_C-58,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
59,Fuel Channel_C-59,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
60,Fuel Channel_C-60,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
61,Fuel Channel_C-61,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
62,Fuel Channel_C-62,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
63,Fuel Channel_C-63,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
64,Fuel Channel_C-64,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
65,Fuel Channel_C-65,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
66,Fuel Channel_C-66,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
67,Fuel Channel_C-67,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
68,Fuel Channel_C-68,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
69,Fuel Channel_C-69,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
70,Fuel Channel_C-70,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
71,Fuel Channel_C-71,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
72,Fuel Channel_C-72,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
73,Fuel Channel_C-73,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
74,Fuel Channel_C-74,1,Stainless Steel AISI 405,1286.9 ,160.9 ,10.0 ,8.6 ,8.2 
75,Fuel Channel_C-75,1,Stainless Steel AISI 405,1408.8 ,176.1 ,10.0 ,9.8 ,9.4 
76,Fuel Channel_C-76,1,Stainless Steel AISI 405,1599.8 ,200.0 ,10.0 ,8.3 ,7.9 
77,Fuel Channel_C-77,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
78,Fuel Channel_C-78,1,Stainless Steel AISI 405,931.7 ,116.5 ,10.0 ,8.3 ,7.9 
79,Fuel Channel_C-79,1,Stainless Steel AISI 405,1845.1 ,230.6 ,10.0 ,10.0 ,9.6 
80,Fuel Channel_C-80,1,Stainless Steel AISI 405,1729.5 ,216.2 ,10.0 ,10.0 ,9.6 
81,Fuel Channel_C-81,1,Stainless Steel AISI 405,1306.0 ,163.2 ,10.0 ,8.6 ,8.3 
82,Fuel Channel_C-82,1,Stainless Steel AISI 405,1286.9 ,160.9 ,10.0 ,8.6 ,8.2 
83,Fuel Channel_C-83,1,Stainless Steel AISI 405,1341.6 ,167.7 ,10.0 ,8.4 ,8.0 
84,Fuel Channel_C-84,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
85,Fuel Channel_C-85,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
86,Fuel Channel_C-86,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
87,Fuel Channel_C-87,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
